code,name,enabled,evidence
HZ-0001,No seismic hazard | No flood wave,true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0002,No seismic hazard | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0003,No seismic hazard | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0004,No seismic hazard | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0005,No seismic hazard | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0006,No seismic hazard | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0007,No seismic hazard | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""NO_SEISMIC"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0008,PGA_1 (0.17 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0009,PGA_1 (0.17 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0010,PGA_1 (0.17 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0011,PGA_1 (0.17 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0012,PGA_1 (0.17 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0013,PGA_1 (0.17 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0014,PGA_1 (0.17 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA1"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0015,PGA_2 (0.39 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0016,PGA_2 (0.39 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0017,PGA_2 (0.39 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0018,PGA_2 (0.39 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0019,PGA_2 (0.39 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0020,PGA_2 (0.39 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0021,PGA_2 (0.39 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA2"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0022,PGA_3 (0.61 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0023,PGA_3 (0.61 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0024,PGA_3 (0.61 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0025,PGA_3 (0.61 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0026,PGA_3 (0.61 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0027,PGA_3 (0.61 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0028,PGA_3 (0.61 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA3"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0029,PGA_4 (0.87 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0030,PGA_4 (0.87 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0031,PGA_4 (0.87 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0032,PGA_4 (0.87 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0033,PGA_4 (0.87 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0034,PGA_4 (0.87 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0035,PGA_4 (0.87 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA4"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0036,PGA_5 (1.22 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0037,PGA_5 (1.22 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0038,PGA_5 (1.22 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0039,PGA_5 (1.22 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0040,PGA_5 (1.22 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0041,PGA_5 (1.22 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0042,PGA_5 (1.22 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA5"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
HZ-0043,PGA_6 (2.12 g) | No flood wave,true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""NO_FLOOD"",""FIRE"":""FALSE""}"
HZ-0044,PGA_6 (2.12 g) | W1 (2.30 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W1"",""FIRE"":""FALSE""}"
HZ-0045,PGA_6 (2.12 g) | W2 (3.21 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W2"",""FIRE"":""FALSE""}"
HZ-0046,PGA_6 (2.12 g) | W3 (4.42 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W3"",""FIRE"":""FALSE""}"
HZ-0047,PGA_6 (2.12 g) | W4 (5.69 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W4"",""FIRE"":""FALSE""}"
HZ-0048,PGA_6 (2.12 g) | W5 (7.06 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W5"",""FIRE"":""FALSE""}"
HZ-0049,PGA_6 (2.12 g) | W6 (8.42 m),true,"{""SEISMIC-LEVEL"":""PGA6"",""FLOOD-LEVEL"":""W6"",""FIRE"":""FALSE""}"
